"session_timestamp","session_task","session_focus_seconds","session_wait_seconds","session_ratio","interval_index","interval_start","interval_focus_seconds","interval_wait_seconds","interval_ratio","reflection_index","motivation_score","meaningful_progress_score","standout_event"
"2026-04-06T09:00:00.000Z","Weekly company priorities and decision agenda for the leadership team","4380","600","7.3x","1","2026-04-06T09:05:00.000Z","2280","300","7.6x","1","5","5","Clarifying the top three company priorities made the rest of the week feel more manageable."
"2026-04-06T09:00:00.000Z","Weekly company priorities and decision agenda for the leadership team","4380","600","7.3x","2","2026-04-06T09:53:00.000Z","2100","300","7.0x","","","",""
"2026-04-06T10:40:00.000Z","Prepare leadership 1:1 notes and unresolved people decisions","2700","900","3.0x","1","2026-04-06T10:45:00.000Z","1620","360","4.5x","1","4","4","One personnel decision was still ambiguous, but writing the talking points reduced the friction."
"2026-04-06T10:40:00.000Z","Prepare leadership 1:1 notes and unresolved people decisions","2700","900","3.0x","2","2026-04-06T11:18:00.000Z","1080","540","2.0x","","","",""
"2026-04-06T11:45:00.000Z","Draft board update outline and monthly KPI narrative","2460","540","4.6x","1","2026-04-06T11:50:00.000Z","2460","540","4.6x","1","4","5","Once the KPI story was framed around retention instead of growth, the board narrative became obvious."
"2026-04-06T14:00:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1320","480","2.8x","1","2026-04-06T14:02:00.000Z","1320","480","2.8x","1","3","4","The meetings were useful, but switching topics every half hour made it harder to keep strategic context."
"2026-04-06T14:35:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1380","420","3.3x","1","2026-04-06T14:37:00.000Z","1380","420","3.3x","1","3","3","I noticed I was making faster decisions when the team came in with a clear recommendation."
"2026-04-06T15:10:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1260","540","2.3x","1","2026-04-06T15:13:00.000Z","1260","540","2.3x","1","3","3","The customer escalation review was necessary, but it pulled energy away from longer-term planning."
"2026-04-06T15:45:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1440","360","4.0x","1","2026-04-06T15:47:00.000Z","1440","360","4.0x","1","4","4","A short meeting with crisp numbers felt efficient and gave me confidence in the next quarter's hiring pace."
"2026-04-06T16:20:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1200","600","2.0x","1","2026-04-06T16:23:00.000Z","1200","600","2.0x","1","2","3","By late afternoon I could still react, but not synthesize as well as in the morning."
"2026-04-06T16:55:00.000Z","Back-to-back executive check-ins on hiring, product risk, and top customer issues","1320","480","2.8x","1","2026-04-06T16:57:00.000Z","1320","480","2.8x","1","2","3","The last meeting was productive only because the decision was operational rather than creative."
"2026-04-07T09:00:00.000Z","Write the Q3 product strategy memo and define the three biggest bets","5100","600","8.5x","1","2026-04-07T09:05:00.000Z","2700","300","9.0x","1","5","5","The strongest ideas came in the first hour, when I could think without incoming messages."
"2026-04-07T09:00:00.000Z","Write the Q3 product strategy memo and define the three biggest bets","5100","600","8.5x","2","2026-04-07T10:05:00.000Z","2400","300","8.0x","","","",""
"2026-04-07T10:55:00.000Z","Review hiring scorecards for VP candidates and prepare final recommendation","3000","900","3.3x","1","2026-04-07T11:00:00.000Z","1800","420","4.3x","1","4","4","Comparing candidates side by side made the recommendation easier than thinking about them one by one."
"2026-04-07T10:55:00.000Z","Review hiring scorecards for VP candidates and prepare final recommendation","3000","900","3.3x","2","2026-04-07T11:42:00.000Z","1200","480","2.5x","","","",""
"2026-04-07T12:10:00.000Z","Investor update draft with revenue, margin, and hiring narrative","2160","540","4.0x","1","2026-04-07T12:15:00.000Z","2160","540","4.0x","1","4","4","The update got much easier once I focused on the storyline rather than trying to mention every metric."
"2026-04-07T14:00:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1260","540","2.3x","1","2026-04-07T14:03:00.000Z","1260","540","2.3x","1","3","3","I was engaged, but after lunch it took more effort to stay sharp across different topics."
"2026-04-07T14:35:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1320","480","2.8x","1","2026-04-07T14:37:00.000Z","1320","480","2.8x","1","3","4","The product review went better than expected because the team had already narrowed the decision set."
"2026-04-07T15:10:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1200","600","2.0x","1","2026-04-07T15:13:00.000Z","1200","600","2.0x","1","3","3","This was one of those sessions where I stayed present, but my thinking was clearly more reactive than generative."
"2026-04-07T15:45:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1380","420","3.3x","1","2026-04-07T15:47:00.000Z","1380","420","3.3x","1","3","4","The pipeline conversation felt energizing because it was concrete and tied directly to the quarter's targets."
"2026-04-07T16:20:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1140","660","1.7x","1","2026-04-07T16:24:00.000Z","1140","660","1.7x","1","2","3","Late afternoon was still usable for decisions, but I noticed more impatience with nuance."
"2026-04-07T16:55:00.000Z","Afternoon meeting block: investor follow-up, product review, and commercial pipeline check","1200","600","2.0x","1","2026-04-07T16:58:00.000Z","1200","600","2.0x","1","2","2","I could finish the meeting, but not do high-quality synthesis afterward."
"2026-04-08T09:00:00.000Z","Write the town hall narrative and connect company priorities to current execution","4800","600","8.0x","1","2026-04-08T09:04:00.000Z","2580","240","10.8x","1","5","5","The story came together when I wrote in plain language instead of trying to sound polished too early."
"2026-04-08T09:00:00.000Z","Write the town hall narrative and connect company priorities to current execution","4800","600","8.0x","2","2026-04-08T10:00:00.000Z","2220","360","6.2x","","","",""
"2026-04-08T10:45:00.000Z","Review customer escalation themes and align product and support response","3180","720","4.4x","1","2026-04-08T10:50:00.000Z","1680","300","5.6x","1","4","4","Seeing the same issue across three customers made the product implication clearer than the individual tickets did."
"2026-04-08T10:45:00.000Z","Review customer escalation themes and align product and support response","3180","720","4.4x","2","2026-04-08T11:28:00.000Z","1500","420","3.6x","","","",""
"2026-04-08T12:05:00.000Z","Finalize town hall edits and prepare speaking notes for the afternoon","1980","420","4.7x","1","2026-04-08T12:10:00.000Z","1980","420","4.7x","1","4","4","Finishing the speaking notes before lunch removed a lot of mental load from the afternoon."
"2026-04-08T14:00:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1320","480","2.8x","1","2026-04-08T14:02:00.000Z","1320","480","2.8x","1","3","3","The finance update was easier to absorb than the marketing discussion because it had cleaner constraints."
"2026-04-08T14:35:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1260","540","2.3x","1","2026-04-08T14:38:00.000Z","1260","540","2.3x","1","3","3","The more subjective the topic, the more I noticed post-lunch drift."
"2026-04-08T15:10:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1380","420","3.3x","1","2026-04-08T15:12:00.000Z","1380","420","3.3x","1","3","4","A concise product checkpoint felt good because it ended with a clear owner and next step."
"2026-04-08T15:45:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1200","600","2.0x","1","2026-04-08T15:48:00.000Z","1200","600","2.0x","1","2","3","I could still move things forward, but not at the same quality as the morning writing block."
"2026-04-08T16:20:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1140","660","1.7x","1","2026-04-08T16:24:00.000Z","1140","660","1.7x","1","2","2","The conversation required attention, but I felt mentally flatter and less inventive."
"2026-04-08T16:55:00.000Z","Afternoon meeting block: marketing sync, finance update, and product checkpoint","1200","600","2.0x","1","2026-04-08T16:57:00.000Z","1200","600","2.0x","1","2","3","This was a good slot for loose ends, but not for creating something from scratch."
"2026-04-09T09:00:00.000Z","Design next quarter org structure and sequence the key leadership hires","4500","900","5.0x","1","2026-04-09T09:05:00.000Z","2400","360","6.7x","1","5","5","The org design work felt energizing because it combined strategy, judgment, and long-term thinking."
"2026-04-09T09:00:00.000Z","Design next quarter org structure and sequence the key leadership hires","4500","900","5.0x","2","2026-04-09T10:03:00.000Z","2100","540","3.9x","","","",""
"2026-04-09T10:50:00.000Z","Budget trade-offs for GTM hiring, product investment, and cash discipline","3000","1080","2.8x","1","2026-04-09T10:56:00.000Z","1620","480","3.4x","1","4","4","The budget review improved once I translated every trade-off into one explicit consequence."
"2026-04-09T10:50:00.000Z","Budget trade-offs for GTM hiring, product investment, and cash discipline","3000","1080","2.8x","2","2026-04-09T11:40:00.000Z","1380","600","2.3x","","","",""
